recent_window_s,age_bin_left_s,age_bin_right_s,age_s,state,recent_state,n_at_risk,n_terminated,empirical_estimate,ci_low,ci_high,support_flag,sparse_flag,tie_rule,insufficient_history_rule,bootstrap_unit,n_bootstrap_replicates,uncertainty_type,pooled_or_crossfitted,fold_aggregation_rule,supported_range_indicator,state_definition,conditioning_statement,prediction_type,model_name,model_estimate
5.0,6.0,8.0,6.910904533110507,Low,low,4787,746,0.15583872989346145,0.1462898261852395,0.16485310323651853,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,6.0,8.0,6.957785595260137,Mid,mid,10802,1344,0.1244214034438067,0.11633624368075812,0.13322714283541565,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,8.0,10.0,8.967619250728657,High,high,14067,1781,0.12660837420914198,0.11933764705737833,0.13442536619677756,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,8.0,10.0,8.972847682119205,Low,low,3020,431,0.14271523178807946,0.13168440801523754,0.154533787931578,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,8.0,10.0,8.962207005530683,Mid,mid,7594,914,0.12035817750855939,0.11320778363533623,0.12725956844107492,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,10.0,12.0,10.960706422896525,High,high,10447,1283,0.12281037618455058,0.11693538666013976,0.12979384944720132,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,10.0,12.0,10.981319554848966,Low,low,2516,330,0.13116057233704292,0.11897999913332788,0.14456675606158634,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,10.0,12.0,10.971440750213128,Mid,mid,5865,724,0.12344416027280478,0.11280205724967991,0.13332341716692236,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,12.0,14.0,12.955186170212766,High,high,7520,877,0.11662234042553192,0.10980772113748667,0.12352606794954016,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,12.0,14.0,12.981797752808989,Low,low,2225,311,0.1397752808988764,0.12776276451931576,0.15127510775425912,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,12.0,14.0,12.979294967084307,Mid,mid,4709,540,0.1146740284561478,0.10595629446728903,0.12502897487008569,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,14.0,16.0,14.956481135599551,High,high,5354,588,0.10982443033246171,0.10115311961719096,0.11922930686283802,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,14.0,16.0,14.983324781939457,Low,low,1949,271,0.13904566444330427,0.12252017756255044,0.15677049051255806,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,14.0,16.0,14.978580481622307,Mid,mid,3945,436,0.11051964512040557,0.10032138913717861,0.12180120085751134,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,16.0,18.0,16.969639707734945,High,high,3969,394,0.09926933736457547,0.08908906996507253,0.1099108923979138,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,16.0,18.0,16.979460093896712,Low,low,1704,216,0.1267605633802817,0.10768961388571519,0.1468194577647659,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,16.0,18.0,16.965631929046562,Mid,mid,3157,352,0.11149825783972125,0.10028942098629548,0.12180493284487835,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,18.0,20.0,18.96775265957447,High,high,3008,277,0.0920877659574468,0.08177422485532249,0.10353298451041858,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,18.0,20.0,18.98015873015873,Low,low,1512,199,0.13161375661375663,0.1143994069751712,0.14864135799869935,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,18.0,20.0,18.97410043495453,Mid,mid,2529,295,0.1166468960063266,0.10671427995179263,0.1260682916575463,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,20.0,22.0,20.967453036260377,High,high,2289,205,0.08955875928352992,0.07496317233668062,0.10334933192650127,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,20.0,22.0,20.973563218390805,Low,low,1305,180,0.13793103448275862,0.121997956997957,0.1547871348189297,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,20.0,22.0,20.975012619888943,Mid,mid,1981,221,0.11155981827359919,0.09861917424970121,0.12599251336898393,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,22.0,24.0,22.96534090909091,High,high,1760,170,0.09659090909090909,0.08197891067421734,0.11164084198741181,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,22.0,24.0,22.98680618744313,Low,low,1099,136,0.12374886260236578,0.11065751591335621,0.13786743348437316,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,22.0,24.0,22.963022508038584,Mid,mid,1555,187,0.1202572347266881,0.10476958103562685,0.1369435339610313,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,24.0,26.0,24.957208943716267,High,high,1297,140,0.1079414032382421,0.09022754883011443,0.1289321519237493,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,24.0,26.0,24.986761710794298,Low,low,982,137,0.1395112016293279,0.1237623862487361,0.15819238714645295,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,24.0,26.0,24.968827930174562,Mid,mid,1203,131,0.10889443059019119,0.08819275644141955,0.1307456284545996,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,26.0,28.0,26.946527012127895,High,high,907,115,0.12679162072767364,0.1068629072376638,0.14630302415262839,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,26.0,28.0,26.97176913425345,Low,low,797,113,0.14178168130489335,0.1168578294463321,0.16727505827505826,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,26.0,28.0,26.966390899689763,Mid,mid,967,133,0.1375387797311272,0.11532458531560001,0.1609963641989634,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,28.0,30.0,28.945544554455445,High,high,606,88,0.14521452145214522,0.1198213185107403,0.16983495232955567,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,28.0,30.0,28.98872180451128,Low,low,665,89,0.13383458646616542,0.11069398723547196,0.1589287140475406,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,28.0,30.0,28.96613545816733,Mid,mid,753,91,0.12084993359893759,0.10274047884896627,0.1407007003700068,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,30.0,32.0,30.952879581151834,High,high,382,46,0.12041884816753927,0.08643345448251989,0.1579838709677419,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,30.0,32.0,30.97424511545293,Low,low,563,83,0.14742451154529307,0.12023246650906225,0.17313561414733247,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,30.0,32.0,30.960176991150444,Mid,mid,565,76,0.13451327433628318,0.10487154166597513,0.1659635879218472,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,32.0,34.0,32.9485294117647,High,high,272,32,0.11764705882352941,0.0856651550741659,0.15944055944055938,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,32.0,34.0,32.972972972972975,Low,low,444,68,0.15315315315315314,0.12439349830179525,0.18254889190370807,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,32.0,34.0,32.962287104622874,Mid,mid,411,58,0.1411192214111922,0.10690724803402343,0.1785537760234735,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,34.0,36.0,34.9375,High,high,176,23,0.13068181818181818,0.0805883308075341,0.1883868243243243,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,34.0,36.0,34.96197183098592,Low,low,355,54,0.15211267605633802,0.11748871776504298,0.1904186436616343,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,34.0,36.0,34.97138047138047,Mid,mid,297,36,0.12121212121212122,0.08774570024570025,0.16074510104689954,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,36.0,38.0,36.95614035087719,High,high,114,14,0.12280701754385964,0.05941287878787879,0.18227709790209787,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,36.0,38.0,36.9808362369338,Low,low,287,47,0.16376306620209058,0.12254699850459304,0.20575507565477863,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,36.0,38.0,36.93835616438356,Mid,mid,219,32,0.1461187214611872,0.10019874476987448,0.19646697688968834,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,38.0,40.0,38.93478260869565,High,high,69,14,0.2028985507246377,0.10689285714285715,0.3090909090909091,False,True,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,False,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,38.0,40.0,38.95023696682465,Low,low,211,27,0.12796208530805686,0.08007105130784709,0.18135880077369437,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,38.0,40.0,38.96583850931677,Mid,mid,161,24,0.14906832298136646,0.09748483166118095,0.20736868378723167,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,40.0,42.0,40.932432432432435,High,high,37,5,0.13513513513513514,0.03075284090909091,0.24285421785421785,False,True,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,False,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,40.0,42.0,40.97093023255814,Low,low,172,23,0.13372093023255813,0.0771249468763281,0.19942771084337346,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,40.0,42.0,40.97107438016529,Mid,mid,121,14,0.11570247933884298,0.06083871915393655,0.19100810536980747,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,42.0,44.0,43.013513513513516,High,high,37,4,0.10810810810810811,0.02467987804878049,0.23909523809523803,False,True,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,False,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,42.0,44.0,42.95038167938932,Low,low,131,30,0.22900763358778625,0.1732782152230971,0.2931108985354268,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
